what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1539786578570
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.buildAll",1539786579504
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786579784
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786582163
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1539786587768
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786596563
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786633631
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1539786638720
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786644609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786645876
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786646076
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786647606
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786648316
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786897414
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1539786899113
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1539786899143
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539786907061
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539787814442
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539787816401
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539787817792
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1539787817852
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1539787817852
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539787972202
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539788461547
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539788471516
