what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1539784825947
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784829338
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784846332
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1539784854964
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.opendecl",1539784858444
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.opendecl",1539784923604
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784932953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784960104
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784961665
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784964537
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539784992920
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785027360
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1539785033676
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1539785038461
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785051727
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785052848
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785053178
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785069042
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1539785104390
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1539785104560
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1539785104731
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1539785270938
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785276409
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785291740
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1539785315917
